endid,endname,end_lat,end_long,geometry,zipcode
246.0,Roslindale Village - Washington St (former),42.28615,-71.12837,POINT (-71.12837 42.28615),2131
247.0,Boylston St at Jersey St (former),42.344696,-71.09724,POINT (-71.09724 42.344696),2215
248.0,Morton St T,42.280754,-71.08622,POINT (-71.08622 42.280754),2126
249.0,Commonwealth Ave at Chiswick Rd (former),42.340218,-71.15173,POINT (-71.15173 42.340218),2135
250.0,Park Plaza at Columbus Ave,42.35186,-71.06769,POINT (-71.06769 42.35186),2116
252.0,Cleveland Circle (former),42.33553,-71.15073,POINT (-71.15073 42.33553),2135
253.0,Thetford Ave at Norfolk St,42.28625,-71.07946,POINT (-71.07946 42.28625),2124
254.0,Talbot Ave At Blue Hill Ave,42.294582,-71.08711,POINT (-71.08711 42.294582),2124
255.0,Park St at Norwell St,42.29442,-71.07831,POINT (-71.07831 42.29442),2124
256.0,Washington St at Talbot Ave,42.290333,-71.07181,POINT (-71.07181 42.290333),2124
257.0,Codman Square Library,42.28736,-71.07111,POINT (-71.07111 42.28736),2124
259.0,Washington St at Bradlee St,42.299164,-71.073456,POINT (-71.07345599999999 42.299164),2124
262.0,Faneuil St at Arlington St,42.35286,-71.16003,POINT (-71.16003000000001 42.35286),2135
263.0,Mattapan Library,42.27739,-71.09325,POINT (-71.09325 42.27739),2126
264.0,Washington St at Egremont Rd,42.342945,-71.141335,POINT (-71.141335 42.342945),2446
274.0,Bennington St at Constitution Beach,42.38525,-71.0106,POINT (-71.0106 42.38525),2128
277.0,Charlestown Navy Yard (former),42.374012,-71.05483,POINT (-71.05483 42.374012),2129
278.0,Centre St at Seaverns Ave (former),42.31212,-71.114296,POINT (-71.114296 42.31212),2130
281.0,Medford St at Charlestown BCYF,42.380585,-71.060875,POINT (-71.060875 42.380585),2129
283.0,Main St at Thompson Sq (former),42.374916,-71.06383,POINT (-71.06383 42.374916),2129
284.0,One Brigham Circle,42.33392,-71.10447,POINT (-71.10447000000001 42.33392),2120
286.0,30 Dane St. (former),42.381123,-71.1041,POINT (-71.1041 42.381123),2143
293.0,Bartlett St at John Elliot Sq (former),42.329464,-71.09016,POINT (-71.09016 42.329464),2119
294.0,Deerfield St at Commonwealth Ave,42.349205,-71.09727,POINT (-71.09726999999999 42.349205),2215
295.0,Columbia Rd at Tierney Community Center (former),42.330235,-71.050575,POINT (-71.05057499999999 42.330235),2127
299.0,Harrison Ave at Mullins Way (former),42.345108,-71.06392,POINT (-71.06392 42.345108),2118
300.0,Tremont St at Northampton St (former),42.33885,-71.081406,POINT (-71.081406 42.33885),2118
302.0,Harrison Ave at Bennet St (former),42.34931,-71.0621,POINT (-71.0621 42.34931),2111
306.0,Blue Hill Ave at Southwood St (former),42.31784,-71.07796,POINT (-71.07796 42.31784),2125
307.0,Broadway T Stop (former),42.3428,-71.05751,POINT (-71.05750999999999 42.3428),2127
311.0,Vassal Lane at Tobin/VLUS (former),42.383926,-71.139626,POINT (-71.13962600000001 42.383926),2138
