endid,endname,end_lat,end_long,geometry,zipcode
345,Hubbell St at 16th St,37.766483,-122.39828,POINT (-122.39828 37.766483),94107
347,23rd St and San Bruno Ave,37.754436,-122.404366,POINT (-122.404366 37.754436),94110
349,Howard St at Mary St,37.78101,-122.40566,POINT (-122.40566 37.78101),94103
35,Cahill Park,37.329117,-121.90458,POINT (-121.90458 37.329117),95126
350,8th St at Brannan St,37.77143,-122.405785,POINT (-122.405785 37.77143),94103
351,10th St at University Ave,37.86906,-122.293396,POINT (-122.293396 37.86906),94710
352,Goettingen St at Bacon St,37.726944,-122.4066,POINT (-122.4066 37.726944),94134
355,23rd St at Tennessee St,37.755367,-122.388794,POINT (-122.388794 37.755367),94107
356,Valencia St at Clinton Park,37.769188,-122.42229,POINT (-122.42229 37.769188),94103
357,2nd St at Julian St,37.341133,-121.892845,POINT (-121.892845 37.341133),95112
358,Williams Ave at 3rd St,37.72928,-122.3929,POINT (-122.3929 37.72928),94124
359,Williams Ave at Apollo St,37.730167,-122.398964,POINT (-122.398964 37.730167),94124
36,Folsom St at 3rd St,37.78383,-122.39887,POINT (-122.39887 37.78383),94103
360,Newhall St at 3rd St,37.73857,-122.38962,POINT (-122.38962 37.73857),94124
361,Mendell St at Fairfax Ave,37.739853,-122.38566,POINT (-122.38566 37.739853),94124
362,Lane St at Revere Ave,37.731728,-122.39005,POINT (-122.39005 37.731728),94124
363,Salesforce Transit Center (Natoma St at 2nd St),37.78749,-122.398285,POINT (-122.398285 37.78749),94105
364,China Basin St at 3rd St,37.772,-122.38997,POINT (-122.38997 37.772),94158
365,Turk St at Fillmore St,37.78045,-122.431946,POINT (-122.431946 37.78045),94115
367,Outside Lands 2018 (Temporary Station),37.771103,-122.473656,POINT (-122.473656 37.771103),94118
368,Myrtle St at Polk St,37.785435,-122.419624,POINT (-122.419624 37.785435),94109
369,Hyde St at Post St,37.78735,-122.41665,POINT (-122.41665 37.78735),94109
37,2nd St at Folsom St,37.785378,-122.396904,POINT (-122.396904 37.785378),94105
370,Jones St at Post St,37.787327,-122.41328,POINT (-122.41328 37.787327),94102
371,Lombard St at Columbus Ave,37.802746,-122.41358,POINT (-122.41358 37.802746),94133
372,Madison St at 17th St,37.804035,-122.26241,POINT (-122.26241 37.804035),94612
373,Potrero del Sol Park (25th St at Utah St),37.751793,-122.40521,POINT (-122.40521 37.751793),94110
374,Viva Calle SJ,37.26331,-121.83333,POINT (-121.83333 37.26331),95136
375,Grove St at Masonic Ave,37.774837,-122.44655,POINT (-122.44655 37.774837),94117
376,Illinois St at 20th St,37.760456,-122.38754,POINT (-122.38754 37.760456),94107
377,Fell St at Stanyan St,37.77195,-122.453705,POINT (-122.453705 37.77195),94117
378,Empire St at 7th St,37.347744,-121.8908,POINT (-121.8908 37.347744),95112
38,The Embarcadero at Pier 38,37.782925,-122.387924,POINT (-122.387924 37.782925),94105
380,Masonic Ave at Turk St,37.779045,-122.44729,POINT (-122.44729 37.779045),94118
381,20th St at Dolores St,37.75824,-122.426094,POINT (-122.426094 37.75824),94114
383,Golden Gate Ave at Franklin St,37.78079,-122.421936,POINT (-122.421936 37.78079),94102
384,Jackson St at Polk St,37.79416,-122.42157,POINT (-122.42157 37.79416),94109
385,Woolsey St at Sacramento St,37.85058,-122.278175,POINT (-122.278175 37.85058),94702
386,24th St at Bartlett St,37.752106,-122.41972,POINT (-122.41972 37.752106),94110
387,Randall St at Chenery St,37.73981,-122.42552,POINT (-122.42552 37.73981),94131
388,Backesto Park (Jackson St at 13th St),37.352886,-121.88605,POINT (-121.88605 37.352886),95112
389,Taylor St at 9th St,37.35306,-121.89194,POINT (-121.89194 37.35306),95112
39,Scott St at Golden Gate Ave,37.779,-122.43686,POINT (-122.43686 37.779),94115
